h3,Accomodation_access,Primary Schools_access,Public Transports Stops_access,Municipal Sports Centers_access
8a1e80424287fff,4.0,2.3333333333333335,82.66666666666667,2.0
8a1e80424297fff,2.0,0.0,45.0,0.0
8a1e804242a7fff,4.2,2.6,84.4,1.6
8a1e804242b7fff,4.666666666666667,3.0,88.0,2.3333333333333335
8a1e804242e7fff,43.0,3.0,96.0,0.0
8a1e804242f7fff,27.0,1.0,72.0,0.0
8a1e80424367fff,11.0,1.0,23.0,0.0
8a1e80424397fff,12.0,3.0,110.0,3.0
8a1e8042439ffff,3.0,1.0,64.0,1.0
8a1e80424407fff,70.83333333333333,11.5,329.3333333333333,6.0
8a1e8042440ffff,76.0,12.0,353.8,6.0
8a1e80424417fff,70.5,11.0,321.5,6.0
8a1e8042441ffff,50.0,10.0,245.0,6.0
8a1e80424427fff,78.625,12.75,381.375,6.0
8a1e8042442ffff,74.0,12.0,352.0,6.0
8a1e80424437fff,74.75,12.0,350.75,6.0
8a1e8042444ffff,12.5,3.0,125.5,2.5
8a1e80424487fff,37.5,8.0,207.8,6.0
8a1e8042448ffff,20.0,5.0,161.0,4.0
8a1e804244a7fff,40.0,8.0,230.0,6.0
8a1e804244affff,8.0,4.0,125.0,3.0
8a1e804244cffff,43.0,10.0,231.5,6.0
8a1e804244d7fff,18.0,5.0,170.5,4.5
8a1e804244dffff,37.0,8.0,218.5,6.0
8a1e804244e7fff,35.0,9.0,201.0,6.0
8a1e804244effff,54.0,10.0,259.0,6.0
8a1e804244f7fff,11.5,3.5,126.5,2.5
8a1e8042450ffff,95.0,13.0,445.0,6.0
8a1e8042451ffff,92.66666666666667,13.333333333333334,440.6666666666667,6.0
8a1e8042452ffff,93.66666666666667,13.666666666666666,450.0,6.0
8a1e80424557fff,88.0,13.0,421.0,6.0
8a1e804245affff,104.0,18.0,487.0,6.0
8a1e80424607fff,4.0,3.0,86.5,2.0
8a1e8042460ffff,1.0,0.0,34.0,0.0
8a1e80424617fff,4.0,0.0,69.0,0.0
8a1e80424627fff,8.2,3.0,101.8,2.4
