id_int,id,x,y,net_type
245,75564_roma_tpl_4193_roma_tpl,12.548637,41.837637,
246,72704_roma_tpl_4193_roma_tpl,12.553833,41.8332,
247,75683_roma_tpl_4885_roma_tpl,12.37232,41.916005,
248,71625_roma_tpl_4885_roma_tpl,12.374985,41.916248,
249,71626_roma_tpl_4885_roma_tpl,12.377165,41.918438,
250,80518_roma_tpl_4885_roma_tpl,12.382847,41.915033,
251,80519_roma_tpl_4885_roma_tpl,12.387917,41.913923,
252,71629_roma_tpl_4885_roma_tpl,12.390663,41.912615,
253,ROME6856_roma_tpl_4885_roma_tpl,12.394446,41.912354,
254,ROME6869_roma_tpl_4885_roma_tpl,12.396484,41.915188,
255,ROME6857_roma_tpl_4885_roma_tpl,12.398058,41.915577,
256,71630_roma_tpl_4885_roma_tpl,12.394515,41.910542,
257,71631_roma_tpl_4885_roma_tpl,12.400032,41.910127,
258,71632_roma_tpl_4885_roma_tpl,12.403417,41.90875,
259,71633_roma_tpl_4885_roma_tpl,12.40736,41.907647,
260,76179_roma_tpl_4885_roma_tpl,12.410518,41.904903,
261,79313_roma_tpl_4885_roma_tpl,12.412712,41.905975,
262,76180_roma_tpl_4885_roma_tpl,12.415467,41.906613,
263,76181_roma_tpl_4885_roma_tpl,12.41711,41.907883,
264,76182_roma_tpl_4885_roma_tpl,12.418668,41.911328,
265,ROME5191_roma_tpl_4885_roma_tpl,12.418541,41.913528,
266,ROME5192_roma_tpl_4885_roma_tpl,12.41852,41.915176,
267,ROME5193_roma_tpl_4885_roma_tpl,12.418496,41.917133,
268,ROME5194_roma_tpl_4885_roma_tpl,12.419229,41.919807,
269,ROME5195_roma_tpl_4885_roma_tpl,12.420421,41.921932,
270,ROME7601_roma_tpl_4885_roma_tpl,12.421801,41.922699,
271,74268_roma_tpl_4885_roma_tpl,12.42447,41.922892,
272,80492_roma_tpl_4885_roma_tpl,12.426233,41.92548,
273,74271_roma_tpl_4885_roma_tpl,12.426993,41.92822,
274,ROME2960_roma_tpl_1981_roma_tpl,12.420875,41.938828,
275,82534_roma_tpl_1981_roma_tpl,12.421022,41.941218,
276,75741_roma_tpl_1981_roma_tpl,12.421965,41.941027,
277,ROME4816_roma_tpl_1981_roma_tpl,12.423964,41.941444,
278,ROME4817_roma_tpl_1981_roma_tpl,12.424364,41.943272,
279,ROME4819_roma_tpl_1981_roma_tpl,12.425128,41.944492,
280,ROME4820_roma_tpl_1981_roma_tpl,12.426229,41.945896,
281,ROME4821_roma_tpl_1981_roma_tpl,12.426646,41.947525,
282,ROME4825_roma_tpl_1981_roma_tpl,12.425978,41.948063,
283,ROME4828_roma_tpl_1981_roma_tpl,12.424296,41.945763,
284,ROME4829_roma_tpl_1981_roma_tpl,12.423291,41.944279,
285,ROME4760_roma_tpl_1981_roma_tpl,12.421452,41.942249,
286,72933_roma_tpl_1981_roma_tpl,12.420362,41.941373,
287,72693_roma_tpl_4193_roma_tpl,12.557483,41.830418,
288,72695_roma_tpl_4193_roma_tpl,12.559598,41.832088,
289,72818_roma_tpl_17_roma_tpl,12.512672,41.813498,
290,ROME7805_roma_tpl_17_roma_tpl,12.511338,41.81171,
291,ROME7005_roma_tpl_17_roma_tpl,12.50863,41.81398,
292,ROME7006_roma_tpl_17_roma_tpl,12.50727,41.814896,
293,ROME1810_roma_tpl_1256_roma_tpl,12.480988,41.826668,
294,72920_roma_tpl_1256_roma_tpl,12.477813,41.826303,
295,72921_roma_tpl_1256_roma_tpl,12.476008,41.826173,
296,70728_roma_tpl_1256_roma_tpl,12.4724,41.825843,
297,70730_roma_tpl_1256_roma_tpl,12.472152,41.822942,
298,78681_roma_tpl_1256_roma_tpl,12.466312,41.824193,
299,74337_roma_tpl_1256_roma_tpl,12.464387,41.823928,
300,74338_roma_tpl_1256_roma_tpl,12.463448,41.8197,
301,80461_roma_tpl_1256_roma_tpl,12.459177,41.822018,
302,78470_roma_tpl_1256_roma_tpl,12.456275,41.825033,
303,78639_roma_tpl_1256_roma_tpl,12.454942,41.826612,
304,72120_roma_tpl_1256_roma_tpl,12.452815,41.827845,
305,72122_roma_tpl_1256_roma_tpl,12.44938,41.825265,
306,72121_roma_tpl_1256_roma_tpl,12.447642,41.82398,
307,79289_roma_tpl_1256_roma_tpl,12.444905,41.822005,
308,74536_roma_tpl_1256_roma_tpl,12.444448,41.819898,
309,70234_roma_tpl_1256_roma_tpl,12.446172,41.81885,
310,ROME321_roma_tpl_1256_roma_tpl,12.44501,41.817432,
311,ROME323_roma_tpl_1256_roma_tpl,12.444784,41.815941,
312,ROME329_roma_tpl_1256_roma_tpl,12.446617,41.815109,
313,ROME331_roma_tpl_1256_roma_tpl,12.449387,41.814709,
314,76793_roma_tpl_1256_roma_tpl,12.449317,41.813625,
315,76794_roma_tpl_1256_roma_tpl,12.446895,41.812335,
316,80175_roma_tpl_1256_roma_tpl,12.447127,41.811508,
317,80176_roma_tpl_1256_roma_tpl,12.449733,41.811987,
318,81791_roma_tpl_1256_roma_tpl,12.452358,41.813012,
319,ROME338_roma_tpl_1256_roma_tpl,12.4538,41.81073,
320,ROME7651_roma_tpl_1256_roma_tpl,12.452699,41.809425,
321,ROME3617_roma_tpl_1256_roma_tpl,12.449807,41.808689,
322,ROME3618_roma_tpl_1256_roma_tpl,12.447812,41.809658,
323,ROME3619_roma_tpl_1256_roma_tpl,12.446616,41.809647,
324,ROME3608_roma_tpl_1256_roma_tpl,12.446403,41.809231,
325,ROME3609_roma_tpl_1256_roma_tpl,12.448066,41.808659,
326,ROME3610_roma_tpl_1256_roma_tpl,12.450697,41.808708,
327,ROME347_roma_tpl_1256_roma_tpl,12.453863,41.809677,
328,70289_roma_tpl_1256_roma_tpl,12.451845,41.812963,
329,70290_roma_tpl_1256_roma_tpl,12.450523,41.812415,
330,80177_roma_tpl_1256_roma_tpl,12.446993,41.811808,
